🚀 STARTING PHASE 3: ENGINEER (Adaptive Target: 1.5 eV)
Using cached local file at C:\Users\REHNA\.cache\matgl\MEGNet-MP-2019.4.1-BandGap-mfi\model.pt...
Using cached local file at C:\Users\REHNA\.cache\matgl\MEGNet-MP-2019.4.1-BandGap-mfi\state.pt...
Using cached local file at C:\Users\REHNA\.cache\matgl\MEGNet-MP-2019.4.1-BandGap-mfi\model.json...
📊 Ep 72 | Time: 28:23 | Rwrd: 7.83 | Gap: 0.49eV
📊 Ep 73 | Time: 27:58 | Rwrd: 7.09 | Gap: 0.41eV
📊 Ep 74 | Time: 29:47 | Rwrd: 7.69 | Gap: 0.50eV
📊 Ep 75 | Time: 27:32 | Rwrd: 5.80 | Gap: 0.35eV
📊 Ep 76 | Time: 27:25 | Rwrd: 7.92 | Gap: 0.54eV
📊 Ep 77 | Time: 29:11 | Rwrd: 6.00 | Gap: 0.46eV
📊 Ep 78 | Time: 29:21 | Rwrd: 6.81 | Gap: 0.38eV
📊 Ep 79 | Time: 29:38 | Rwrd: 6.26 | Gap: 0.40eV
📊 Ep 80 | Time: 28:23 | Rwrd: 6.58 | Gap: 0.32eV
📊 Ep 81 | Time: 30:06 | Rwrd: 4.82 | Gap: 0.50eV
📊 Ep 82 | Time: 30:08 | Rwrd: 8.20 | Gap: 0.50eV
📊 Ep 83 | Time: 29:21 | Rwrd: 6.97 | Gap: 0.40eV
📊 Ep 84 | Time: 29:24 | Rwrd: 6.74 | Gap: 0.34eV
📊 Ep 85 | Time: 29:13 | Rwrd: 6.24 | Gap: 0.46eV
📊 Ep 86 | Time: 30:08 | Rwrd: 5.74 | Gap: 0.44eV
📊 Ep 87 | Time: 29:34 | Rwrd: 6.68 | Gap: 0.48eV
📊 Ep 88 | Time: 28:20 | Rwrd: 9.25 | Gap: 0.55eV
📊 Ep 89 | Time: 28:55 | Rwrd: 6.77 | Gap: 0.58eV
📊 Ep 90 | Time: 30:00 | Rwrd: 6.40 | Gap: 0.46eV
📊 Ep 91 | Time: 29:06 | Rwrd: 7.88 | Gap: 0.42eV
📊 Ep 92 | Time: 30:06 | Rwrd: 7.74 | Gap: 0.59eV
📊 Ep 93 | Time: 29:04 | Rwrd: 7.23 | Gap: 0.61eV
📊 Ep 94 | Time: 29:09 | Rwrd: 6.28 | Gap: 0.41eV
📊 Ep 95 | Time: 29:25 | Rwrd: 7.37 | Gap: 0.32eV
📊 Ep 96 | Time: 28:08 | Rwrd: 6.58 | Gap: 0.37eV
📊 Ep 97 | Time: 29:02 | Rwrd: 6.86 | Gap: 0.60eV
📊 Ep 98 | Time: 29:23 | Rwrd: 8.14 | Gap: 0.47eV
📊 Ep 99 | Time: 29:08 | Rwrd: 6.31 | Gap: 0.42eV
📊 Ep 100 | Time: 29:08 | Rwrd: 6.71 | Gap: 0.58eV
